source,model,model_type,init_date,target_month,lead_months,nino34_anom,member_id,temporal_resolution,anomaly_base_period
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.801,ens_042,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.3525,ens_042,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.5818,ens_042,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.483,ens_043,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9822,ens_043,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.1344,ens_043,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.0429,ens_043,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.3078,ens_043,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,1.5627,ens_043,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5027,ens_044,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,1.0884,ens_044,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.3421,ens_044,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.4007,ens_044,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.6207,ens_044,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,1.7036,ens_044,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5387,ens_045,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,1.0246,ens_045,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.4824,ens_045,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.8545,ens_045,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.0568,ens_045,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.2269,ens_045,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.535,ens_046,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9964,ens_046,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.2704,ens_046,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.615,ens_046,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.0882,ens_046,monthly,1993-2016
