source,model,model_type,init_date,target_month,lead_months,nino34_anom,tropical_mean_anom,roni_anom,member_id,temporal_resolution,anomaly_base_period
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,1.8446,0.8041,1.0405,ens_022,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,2.1009,0.877,1.2239,ens_022,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.4738,0.9176,1.5562,ens_022,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,2.8625,0.9127,1.9498,ens_022,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,3.1551,0.9669,2.1882,ens_022,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,2.835,0.9922,1.8428,ens_022,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.2818,0.8705,1.4113,ens_022,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.9354,0.6366,0.2988,ens_023,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.3819,0.8136,0.5684,ens_023,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,1.6981,0.8458,0.8522,ens_023,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,2.2955,0.9703,1.3252,ens_023,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.47,1.1008,1.3693,ens_023,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,3.0561,0.9197,2.1364,ens_023,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,3.0904,1.018,2.0723,ens_023,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,2.7752,1.1485,1.6267,ens_023,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.6125,1.1709,1.4415,ens_023,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.7768,0.5825,0.1943,ens_024,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.4309,0.7758,0.655,ens_024,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,2.0617,0.8387,1.223,ens_024,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,2.3321,0.8538,1.4783,ens_024,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.6143,0.8683,1.746,ens_024,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,3.2458,0.9859,2.2599,ens_024,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,3.3221,1.0417,2.2803,ens_024,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,3.0776,1.0778,1.9998,ens_024,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.9366,1.2128,1.7238,ens_024,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.8258,0.5666,0.2593,ens_025,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.0909,0.7121,0.3788,ens_025,monthly,model-specific
