date,soi,wind_wpac,wind_cpac,wind_epac
1986-12-01,-1.40,-5.40,-2.40,-0.30
1987-01-01,-0.70,-1.10,-1.70,0.60
1987-02-01,-1.20,-4.40,-4.00,-0.60
1987-03-01,-1.30,-2.10,-3.40,-2.30
1987-04-01,-1.40,-3.80,-4.30,-3.10
1987-05-01,-1.30,-3.60,-5.40,-3.40
1987-06-01,-1.10,-1.40,-2.80,1.10
1987-07-01,-1.40,-3.20,-4.20,-1.90
1987-08-01,-0.90,-1.30,-2.80,0.80
1987-09-01,-1.00,-1.40,-0.90,1.70
1987-10-01,-0.40,-0.60,-1.40,0.80
1987-11-01,-0.00,-0.90,-0.30,1.70
1987-12-01,-0.50,-1.90,-0.70,1.70
1988-01-01,-0.10,-1.30,0.70,2.10
1988-02-01,-0.40,-1.20,-0.60,1.50
1988-03-01,0.60,2.40,1.60,2.40
1988-04-01,0.10,-0.10,0.60,1.00
1988-05-01,0.90,1.30,2.60,4.30
1988-06-01,0.10,0.10,1.80,3.10
1988-07-01,1.00,1.10,3.50,4.20
1988-08-01,1.50,2.90,2.40,0.90
1988-09-01,1.80,3.60,5.70,3.30
1988-10-01,1.40,1.10,4.50,3.40
1988-11-01,1.70,3.30,4.90,2.00
1988-12-01,1.20,0.90,3.00,2.70
1989-01-01,1.50,1.90,3.10,1.90
1989-02-01,1.20,0.80,1.80,0.10
1989-03-01,1.10,2.10,2.40,1.90
1989-04-01,1.60,0.60,2.90,3.50
1989-05-01,1.20,0.30,2.40,2.30
1989-06-01,0.70,-0.10,0.10,-0.00
1989-07-01,0.90,1.70,1.40,1.30
1989-08-01,-0.30,1.40,0.50,0.70
1989-09-01,0.50,1.70,-0.20,-0.90
1989-10-01,0.80,1.00,2.70,2.20
1989-11-01,-0.20,-2.90,0.40,0.70
1989-12-01,-0.50,-1.70,-1.90,-0.70
1990-01-01,-0.10,-2.90,-0.60,2.20
1990-02-01,-1.80,-5.00,-3.00,0.60
1990-03-01,-0.40,-4.80,-0.30,2.30
1990-04-01,0.20,-1.50,0.50,1.20
1990-05-01,1.20,-0.10,0.50,0.10
1990-06-01,0.30,-1.20,0.80,0.10
1990-07-01,0.50,-1.10,-1.30,-0.70
1990-08-01,-0.20,0.10,0.70,0.60
1990-09-01,-0.70,0.30,-0.20,0.10
1990-10-01,0.30,1.10,0.10,-0.70
1990-11-01,-0.50,-4.00,-0.70,0.80
1990-12-01,-0.20,-3.50,-1.30,-0.90
1991-01-01,0.60,-1.00,-0.50,0.10
1991-02-01,0.30,-0.60,0.60,1.70
1991-03-01,-0.70,-3.40,-0.40,0.10
1991-04-01,-0.60,-1.80,0.50,0.90
1991-05-01,-1.00,-1.40,-1.20,-1.20
1991-06-01,-0.10,-0.90,-1.60,-1.10
1991-07-01,0.00,-1.50,-0.80,-0.10
1991-08-01,-0.40,-1.30,-0.00,0.80
1991-09-01,-1.50,-3.10,-2.10,-1.30
1991-10-01,-1.00,-0.90,-1.10,-0.60
1991-11-01,-0.70,-4.80,-3.70,-0.50
1991-12-01,-1.80,-2.30,-6.20,-1.30
1992-01-01,-2.90,-4.70,-8.10,-4.00
1992-02-01,-0.90,-1.60,-5.30,-1.20
1992-03-01,-2.00,-1.30,-6.00,-1.50
1992-04-01,-1.00,-2.50,-4.70,-0.70
1992-05-01,0.30,-0.80,-2.60,-0.60
1992-06-01,-0.60,-0.90,-0.50,0.50
1992-07-01,-0.60,-0.90,-2.00,0.30
1992-08-01,0.40,-0.60,-0.00,0.50
1992-09-01,0.10,-0.70,-1.90,-1.20
1992-10-01,-1.40,-0.30,0.00,2.10
1992-11-01,-0.70,-2.30,-2.70,-1.80
1992-12-01,-0.60,-1.90,-2.20,-0.30
1993-01-01,-0.90,-1.50,-2.70,-0.90
1993-02-01,-0.70,-5.20,-2.40,-0.00
1993-03-01,-0.50,-3.40,-1.00,0.40
1993-04-01,-1.20,-4.00,-2.30,-1.30
1993-05-01,-0.30,-0.80,-1.70,-1.30
1993-06-01,-0.80,-1.70,-1.90,-0.70
1993-07-01,-0.80,-0.80,-0.20,0.50
1993-08-01,-0.90,-1.50,-1.70,-1.60
1993-09-01,-0.70,0.20,-1.20,-0.60
1993-10-01,-1.10,-0.80,-1.00,0.10
1993-11-01,-0.10,1.20,-0.80,-0.10
1993-12-01,0.20,-0.80,1.10,0.50
1994-01-01,-0.10,-0.20,0.60,-0.20
1994-02-01,0.30,0.50,1.80,1.20
1994-03-01,-0.70,0.70,0.10,1.10
1994-04-01,-1.30,-0.10,0.50,2.30
1994-05-01,-0.70,-1.20,-0.30,0.70
1994-06-01,-0.40,-0.50,0.70,1.50
1994-07-01,-1.30,-2.00,-1.10,0.90
1994-08-01,-1.20,-2.60,-1.20,-0.00
1994-09-01,-1.60,-2.10,-1.50,-0.70
1994-10-01,-1.10,-1.90,-3.30,-2.40
1994-11-01,-0.60,-3.20,-3.30,-2.30
1994-12-01,-1.20,-4.60,-0.80,-0.80
1995-01-01,-0.40,-1.50,0.40,-0.60
1995-02-01,-0.10,-0.20,-1.60,-0.60
1995-03-01,0.80,0.80,0.90,1.80
1995-04-01,-0.70,-2.40,0.40,0.70
1995-05-01,-0.40,-1.10,1.10,0.90
1995-06-01,0.10,1.70,0.70,-0.80
1995-07-01,0.40,1.70,0.70,-0.10
1995-08-01,0.30,2.60,1.60,-0.50
1995-09-01,0.30,1.30,1.10,-0.40
1995-10-01,0.00,1.90,0.80,-0.40
1995-11-01,0.00,2.80,1.20,1.80
1995-12-01,-0.50,1.00,-1.40,-0.50
1996-01-01,1.00,1.20,2.00,1.40
1996-02-01,0.30,1.30,3.00,3.50
1996-03-01,1.10,1.70,2.30,1.70
1996-04-01,0.80,2.50,1.40,1.50
1996-05-01,0.30,0.30,1.50,2.60
1996-06-01,1.20,1.90,1.50,0.50
1996-07-01,0.70,1.10,1.40,0.70
1996-08-01,0.70,2.40,-0.10,-0.50
1996-09-01,0.60,0.70,1.60,1.20
1996-10-01,0.60,2.20,0.90,-0.20
1996-11-01,-0.10,1.20,1.10,0.80
1996-12-01,0.90,-1.70,1.70,2.90
1997-01-01,0.50,-1.60,-0.60,-0.60
1997-02-01,1.70,1.00,2.20,1.80
1997-03-01,-0.40,-7.50,-1.60,0.50
1997-04-01,-0.60,-4.70,-1.80,-0.80
1997-05-01,-1.30,-4.20,-1.70,-0.10
1997-06-01,-1.40,-3.80,-6.70,-4.20
1997-07-01,-0.80,-1.80,-1.60,-0.90
1997-08-01,-1.40,-5.90,-5.00,-2.60
1997-09-01,-1.40,-5.00,-7.00,-4.60
1997-10-01,-1.50,-6.00,-10.30,-5.80
1997-11-01,-1.20,-0.10,-7.90,-6.40
1997-12-01,-1.00,-1.00,-5.60,-4.60
1998-01-01,-2.70,-0.30,-7.00,-5.10
1998-02-01,-2.00,-0.30,-6.80,-7.60
1998-03-01,-2.40,-0.90,-6.60,-5.70
1998-04-01,-1.40,1.90,-5.10,-6.90
1998-05-01,0.30,2.00,-1.10,-1.00
1998-06-01,1.00,2.60,0.00,-1.30
1998-07-01,1.20,3.40,1.40,0.40
1998-08-01,1.20,1.80,0.70,0.70
1998-09-01,1.00,3.40,0.70,-0.80
1998-10-01,1.10,2.80,3.10,1.40
1998-11-01,1.00,3.00,3.10,0.70
1998-12-01,1.40,2.40,3.40,1.00
1999-01-01,1.80,5.50,3.10,0.70
1999-02-01,1.00,1.70,2.50,-1.30
1999-03-01,1.30,5.80,2.20,-1.30
1999-04-01,1.40,4.30,1.80,-1.00
1999-05-01,0.20,2.80,1.70,-0.30
1999-06-01,0.30,1.10,0.80,-1.00
1999-07-01,0.50,1.30,2.30,0.60
1999-08-01,0.40,2.30,1.40,-0.60
1999-09-01,-0.10,2.00,-0.20,-1.20
1999-10-01,1.00,4.20,2.10,0.50
